"choice","nonchoice","value","rt","pair","valence","iter","med","ord_sbj","not_cond1","not_cond2","dmed"
1,2,0,1.231,3,1,1,"off",1,1,2,0
1,2,1,1.413,2,2,1,"off",1,1,3,0
2,1,1,-1.272,1,2,1,"off",1,2,3,0
1,2,0,0.976,1,1,2,"off",1,2,3,0
2,1,0,-1.128,2,1,2,"off",1,1,3,0
1,2,0,1.153,3,1,2,"off",1,1,2,0
2,1,0,-1.335,1,1,3,"off",1,2,3,0
2,1,0,-1.332,3,1,3,"off",1,1,2,0
1,2,1,1.793,2,2,3,"off",1,1,3,0
2,1,0,-1.335,3,1,4,"off",1,1,2,0
1,2,1,1.595,1,2,4,"off",1,2,3,0
1,2,1,1.655,2,2,4,"off",1,1,3,0
2,1,0,-1.603,2,1,5,"off",1,1,3,0
1,2,1,0.996,1,2,5,"off",1,2,3,0
2,1,0,-1.368,3,1,5,"off",1,1,2,0
1,2,1,0.992,1,2,6,"off",1,2,3,0
2,1,0,-1.019,3,1,6,"off",1,1,2,0
1,2,1,1.143,2,2,6,"off",1,1,3,0
2,1,0,-1.049,1,1,7,"off",1,2,3,0
1,2,1,0.945,2,2,7,"off",1,1,3,0
1,2,0,0.971,3,1,7,"off",1,1,2,0
1,2,1,0.893,3,2,8,"off",1,1,2,0
2,1,1,-1.58,2,2,8,"off",1,1,3,0
1,2,0,1.592,1,1,8,"off",1,2,3,0
1,2,0,1.996,2,1,9,"off",1,1,3,0
1,2,1,1.481,3,2,9,"off",1,1,2,0
1,2,1,1.601,1,2,9,"off",1,2,3,0
2,1,0,-1.283,1,1,10,"off",1,2,3,0
1,2,1,1.306,2,2,10,"off",1,1,3,0
1,2,0,2.519,3,1,10,"off",1,1,2,0
2,1,0,-1.416,3,1,11,"off",1,1,2,0
2,1,0,-1.873,1,1,11,"off",1,2,3,0
2,1,1,-0.829,2,2,11,"off",1,1,3,0
2,1,0,-1.633,1,1,12,"off",1,2,3,0
1,2,1,2.093,3,2,12,"off",1,1,2,0
2,1,0,-1.387,2,1,12,"off",1,1,3,0
